1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, b, north
1, b, east
2, b, east
2, b, north
2, b, north
2, b, west
2, b, south
2, b, east
3, b, east
4, b, east
5, b, east
5, b, north
5, b, north
5, b, north
5, b, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
3, c, north
3, d, north
3, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
